Who is the main character of Naruto? | Naruto Uzumaki | Sasuke Uchiha | Sakura Haruno | Kakashi Hatake | A

Who is the main character of One Piece? | Monkey D. Luffy | Roronoa Zoro | Nami | Sanji | A

Who is the main character of Dragon Ball Z? | Goku | Vegeta | Gohan | Piccolo | A

Who is the captain of the Straw Hat Pirates? | Monkey D. Luffy | Roronoa Zoro | Sanji | Nami | A

Who is Narutos rival? | Sasuke Uchiha | Kakashi Hatake | Shikamaru Nara | Gaara | A

What is Narutos dream? | Become Hokage | Become Pirate King | Become Saiyan | Become Shinigami | A

Who is Gokus son? | Gohan | Vegeta Jr. | Trunks | Pan | A

What is the main goal of One Piece? | Find the One Piece | Defeat Frieza | Become Hokage | Collect Dragon Balls | A

Who is the main female protagonist in Naruto? | Sakura Haruno | Hinata Hyuga | Tsunade | Ino Yamanaka | A

Who trains Naruto in the early series? | Kakashi Hatake | Jiraiya | Tsunade | Minato Namikaze | A

Who is the main antagonist in early Dragon Ball Z? | Frieza | Cell | Majin Buu | Vegeta | A

Who kills Kurama (Nine-Tails) in Naruto? | No one | Naruto | Sasuke | Madara | A

Who is the main character in Attack on Titan? | Eren Yeager | Mikasa Ackerman | Armin Arlert | Levi Ackerman | A

Who can transform into a Titan? | Eren Yeager | Mikasa | Armin | Jean | A

Who is Mikasas adoptive brother? | Eren Yeager | Armin | Levi | Jean | A

Death Note main character? | Light Yagami | L | Ryuk | Near | A

Who finds the Death Note first? | Light Yagami | L | Misa Amane | Ryuk | A

Who is the detective in Death Note? | L | Light Yagami | Near | Mello | A

Who is the Shinigami who dropped the Death Note? | Ryuk | Rem | Sidoh | Gelus | A

Who is the main character of My Hero Academia? | Izuku Midoriya | Katsuki Bakugo | All Might | Shoto Todoroki | A

What is All Mights real name? | Toshinori Yagi | Izuku Midoriya | Katsuki Bakugo | Shota Aizawa | A

Who is Bakugos rival? | Izuku Midoriya | Shoto Todoroki | Tenya Iida | Eijiro Kirishima | A

Who is the main villain in My Hero Academia season 1? | All For One | Tomura Shigaraki | Kurogiri | Dabi | B

Who is the protagonist in Demon Slayer? | Tanjiro Kamado | Nezuko Kamado | Zenitsu | Inosuke | A

Who is Tanjiros sister? | Nezuko Kamado | Kanao Tsuyuri | Mitsuri Kanroji | Shinobu Kochou | A

Who uses Lightning Breathing style? | Zenitsu Agatsuma | Tanjiro Kamado | Inosuke Hashibira | Giyu Tomioka | A

Who is the Water Hashira in Demon Slayer? | Giyu Tomioka | Kyojuro Rengoku | Tengen Uzui | Sanemi Shinazugawa | A

Who is the Flame Hashira? | Kyojuro Rengoku | Giyu Tomioka | Tengen Uzui | Mitsuri Kanroji | A

Who is the main character in One Punch Man? | Saitama | Genos | Garou | King | A

Who is Saitamas disciple? | Genos | King | Bang | Sonic | A

Who is the protagonist in Tokyo Ghoul? | Ken Kaneki | Touka Kirishima | Nishiki Nishio | Haise Sasaki | A

Who becomes half-ghoul after attack? | Ken Kaneki | Touka Kirishima | Nishiki Nishio | Hide | A

Who is the main character in Black Clover? | Asta | Yuno | Noelle Silva | Yami Sukehiro | A

Who is Astas rival? | Yuno | Yami | Noelle | Magna | A

Who is captain of Black Bulls? | Yami Sukehiro | Asta | Yuno | Julius Novachrono | A

Who is the Wizard King in Black Clover? | Julius Novachrono | Yami | William Vangeance | Licht | A

Fullmetal Alchemist protagonist? | Edward Elric | Alphonse Elric | Roy Mustang | Winry Rockbell | A

Who is Edwards brother? | Alphonse Elric | Roy Mustang | Maes Hughes | Ling Yao | A

Who is the antagonist in Fullmetal Alchemist: Brotherhood? | Father | Lust | Gluttony | Envy | A

Who created Dragon Ball? | Akira Toriyama | Masashi Kishimoto | Tite Kubo | Eiichiro Oda | A

Who created Naruto? | Masashi Kishimoto | Eiichiro Oda | Akira Toriyama | Yoshihiro Togashi | A

Who created One Piece? | Eiichiro Oda | Masashi Kishimoto | Akira Toriyama | Tite Kubo | A

Who created Bleach? | Tite Kubo | Masashi Kishimoto | Akira Toriyama | Eiichiro Oda | A

Who is the protagonist of Bleach? | Ichigo Kurosaki | Rukia Kuchiki | Renji Abarai | Uryu Ishida | A

Who wields Zangetsu? | Ichigo Kurosaki | Rukia Kuchiki | Byakuya Kuchiki | Renji Abarai | A

Who is the captain of 13th Division? | Jushiro Ukitake | Byakuya Kuchiki | Kenpachi Zaraki | Mayuri Kurotsuchi | A

Who is the main character in Hunter x Hunter? | Gon Freecss | Killua Zoldyck | Kurapika | Leorio Paradinight | A

Who is Gons best friend? | Killua Zoldyck | Kurapika | Leorio | Hisoka | A

Who is the Phantom Troupe leader? | Chrollo Lucilfer | Hisoka | Feitan | Uvogin | A

Who is the main protagonist of Sword Art Online? | Kirito | Asuna | Sinon | Klein | A

Who is Kiritos love interest? | Asuna | Sinon | Suguha | Klein | A

Who is Sinon in SAO? | Sniper | Sword Fighter | Healer | Mage | A

Who is the protagonist of Fairy Tail? | Natsu Dragneel | Lucy Heartfilia | Gray Fullbuster | Erza Scarlet | A

Who is Lucys best friend? | Natsu Dragneel | Gray Fullbuster | Happy | Erza Scarlet | A

Who can use Ice-Make magic? | Gray Fullbuster | Natsu Dragneel | Lucy Heartfilia | Erza Scarlet | A

Who is the Dragon Slayer in Fairy Tail? | Natsu Dragneel | Gajeel Redfox | Wendy Marvell | All | D

Who is the main character in Death Note? | Light Yagami | L | Misa Amane | Near | A

Who is Ls real name? | L Lawliet | Light Yagami | Ryuk | Near | A

Who wrote Attack on Titan manga? | Hajime Isayama | Tite Kubo | Masashi Kishimoto | Akira Toriyama | A

Who is Levi Ackerman? | Strongest soldier | Titan shifter | Villain | Pilot | A

Who is the protagonist of Tokyo Revengers? | Takemichi Hanagaki | Mikey | Draken | Pah | A

Who is Mikey in Tokyo Revengers? | Leader | Takemichi | Draken | Villain | A

Who is Draken in Tokyo Revengers? | Vice Leader | Mikey | Takemichi | Villain | A

Who is protagonist of One Punch Man? | Saitama | Genos | King | Bang | A

Who is Saitamas disciple? | Genos | King | Bang | Fubuki | A

Who is the main antagonist in One Punch Man Season 1? | Vaccine Man | Boros | Deep Sea King | Garou | A

Who is Garou? | Hero Hunter | Saitamas Friend | King | Genos | A

Who is protagonist in Black Clover? | Asta | Yuno | Noelle | Yami | A

Who has Devil powers in Black Clover? | Asta | Yuno | Noelle | Yami | A

Who is the captain of Golden Dawn? | William Vangeance | Yami | Julius | Licht | A

Who is protagonist in Jujutsu Kaisen? | Yuji Itadori | Megumi Fushiguro | Nobara Kugisaki | Satoru Gojo | A

Who swallows a cursed finger in Jujutsu Kaisen? | Yuji Itadori | Megumi | Nobara | Panda | A

Who is Gojo Satoru? | Teacher | Student | Villain | Student Leader | A

Who is Sukuna? | King of Curses | Student | Teacher | Villain | A

Who is protagonist in Boruto? | Boruto Uzumaki | Sarada Uchiha | Mitsuki | Shikadai | A

Who is Borutos father? | Naruto Uzumaki | Sasuke Uchiha | Kakashi | Minato | A

Who is Saradas mother? | Sakura Haruno | Hinata Hyuga | Ino Yamanaka | Tenten | A

Who is protagonist of Bleach? | Ichigo Kurosaki | Rukia | Renji | Byakuya | A

Who is antagonist in Naruto Shippuden Akatsuki leader? | Pain | Itachi | Kisame | Hidan | A

Who is protagonist in Dragon Ball Super? | Goku | Vegeta | Gohan | Trunks | A

Who is antagonist in Dragon Ball Z Cell Saga? | Cell | Frieza | Majin Buu | Android 17 | A

Who is Trunks father? | Vegeta | Goku | Gohan | Piccolo | A

Who is protagonist of Fairy Tail? | Natsu | Gray | Erza | Lucy | A

