What is Taylor Swift’s full name? | Taylor Alison Swift | Taylor Anne Swift | Taylor Marie Swift | Taylor Grace Swift | A
In which year was Taylor Swift born? | 1987 | 1988 | 1989 | 1990 | C
Which is Taylor Swift’s debut album? | Fearless | Speak Now | Taylor Swift | Red | C
Which album is also known as “Taylor’s Version”? | Fearless | Red | 1989 | All | D
Which Taylor Swift album won Album of the Year Grammy in 2024? | Midnights | Folklore | Evermore | Red | A
Which genre did Taylor Swift start her career in? | Pop | Country | Rock | Indie | B
Which song made Taylor Swift famous worldwide? | Love Story | Blank Space | Shake It Off | You Belong With Me | A
Which album is named after Taylor Swift’s birth year? | Red | Speak Now | 1989 | Lover | C
Which tour is Taylor Swift’s biggest and highest-grossing tour? | Reputation Tour | Red Tour | Eras Tour | 1989 Tour | C
Which song begins with “It’s me, hi, I’m the problem, it’s me”? | Anti-Hero | Bejeweled | Lavender Haze | Karma | A
Which album includes the song “Blank Space”? | Red | 1989 | Lover | Midnights | B
Which Taylor Swift album is considered indie-folk? | Folklore | Lover | 1989 | Reputation | A
Who is a frequent collaborator of Taylor Swift? | Jack Antonoff | Max Martin | Aaron Dessner | All | D
Which album features the song “All Too Well (10 Minute Version)”? | Red (Taylor’s Version) | Fearless | Speak Now | Lover | A
Which song won Song of the Year Grammy for Taylor Swift? | Shake It Off | Anti-Hero | Mean | Cardigan | C
Which album marked Taylor Swift’s full pop transition? | Red | 1989 | Lover | Reputation | B
Which Taylor Swift song includes the lyric “Darling, I’m a nightmare dressed like a daydream”? | Style | Blank Space | Gorgeous | Delicate | B
Which album includes “Look What You Made Me Do”? | Reputation | Lover | Midnights | Red | A
Which Taylor Swift album was surprise-released during COVID-19? | Folklore | Evermore | Both | None | C
Which album came after Folklore? | Lover | Evermore | Midnights | Red | B
Which Taylor Swift song features Ice Spice? | Karma | Vigilante Shit | Anti-Hero | Bejeweled | A
Which album includes the song “Cruel Summer”? | Lover | 1989 | Midnights | Reputation | A
Which album has a snake theme? | Red | Reputation | Lover | Midnights | B
Which Taylor Swift album won Album of the Year three times? | Fearless | 1989 | Folklore | All | D
Which song is about media criticism? | Shake It Off | Mean | Both | None | C
Which Taylor Swift tour movie released in cinemas? | Reputation Tour | Eras Tour | Red Tour | 1989 Tour | B
Which album includes “You Belong With Me”? | Fearless | Taylor Swift | Speak Now | Red | A
Which album was fully self-written by Taylor Swift? | Speak Now | Red | Fearless | Lover | A
Which Taylor Swift album has pastel aesthetic? | Lover | Midnights | Reputation | Red | A
Which song includes the lyric “We were both young when I first saw you”? | Love Story | Enchanted | Mine | Fifteen | A
Which album includes “Style”? | 1989 | Lover | Red | Reputation | A
Which Taylor Swift song references “Romeo and Juliet”? | Love Story | Enchanted | Begin Again | Ours | A
Which album includes “Cardigan”? | Folklore | Evermore | Lover | Midnights | A
Which album includes “Willow”? | Evermore | Folklore | Lover | Midnights | A
Which Taylor Swift album has a cottagecore aesthetic? | Folklore | Reputation | Red | Lover | A
Which album includes “Bejeweled”? | Midnights | Lover | 1989 | Evermore | A
Which song features the lyric “Karma is my boyfriend”? | Karma | Anti-Hero | Lavender Haze | Mastermind | A
Which Taylor Swift album broke Spotify records in 2022? | Midnights | Lover | Folklore | Evermore | A
Which album includes “Snow on the Beach”? | Midnights | Lover | Evermore | 1989 | A
Which Taylor Swift song was re-recorded to own her masters? | Love Story | All earlier albums | Only Fearless | None | B
Which album includes “Delicate”? | Reputation | Lover | Red | Midnights | A
Which album includes “The Archer”? | Lover | 1989 | Red | Folklore | A
Which Taylor Swift album is color-themed red? | Red | Lover | 1989 | Midnights | A
Which song is known as a breakup anthem? | All Too Well | Style | Lover | You Need to Calm Down | A
Which Taylor Swift album won Grammy Album of the Year in 2010? | Fearless | Red | Speak Now | 1989 | A
Which song includes “We never go out of style”? | Style | Blank Space | Delicate | Gorgeous | A
Which album includes “August”? | Folklore | Evermore | Lover | Midnights | A
Which album includes “Mastermind”? | Midnights | Reputation | Lover | Red | A
Which Taylor Swift album has a midnight theme? | Midnights | Lover | 1989 | Evermore | A
Which album includes “You’re On Your Own, Kid”? | Midnights | Folklore | Evermore | Lover | A
Which Taylor Swift album is associated with stars and constellations? | Midnights | Lover | 1989 | Speak Now | A
Which album includes “Invisible String”? | Folklore | Evermore | Lover | Midnights | A
Which Taylor Swift song features a clock countdown? | Delicate | Bejeweled | Style | Out of the Woods | D
Which album includes “Out of the Woods”? | 1989 | Red | Lover | Midnights | A
Which Taylor Swift album includes “Betty”? | Folklore | Evermore | Lover | Midnights | A
Which album includes “The Great War”? | Midnights | Evermore | Folklore | Lover | A
Which Taylor Swift album includes “Maroon”? | Midnights | Red | Lover | 1989 | A
Which album includes “Exile”? | Folklore | Evermore | Lover | Midnights | A
Which Taylor Swift album includes “Champagne Problems”? | Evermore | Folklore | Lover | Midnights | A
Which album includes “No Body, No Crime”? | Evermore | Folklore | Lover | Midnights | A
Which Taylor Swift album includes “Labyrinth”? | Midnights | Lover | Folklore | Evermore | A
Which album includes “Question…?” | Midnights | 1989 | Lover | Reputation | A
Which Taylor Swift album includes “Paris”? | Midnights | Lover | Evermore | Folklore | A
Which album includes “Dear Reader”? | Midnights | Red | Lover | Speak Now | A
Which Taylor Swift album includes “Midnight Rain”? | Midnights | Folklore | Evermore | Lover | A
Which album includes “Sweet Nothing”? | Midnights | Lover | Folklore | Evermore | A
Which Taylor Swift album includes “Hits Different”? | Midnights | Lover | 1989 | Red | A
