Who is the creator of Rajab’s Family YouTube channel? | Rajab Butt | Ducky Bhai | Nadir Ali | Mooroo | A
Rajab’s Family channel is mainly based on? | Gaming | Family lifestyle vlogs | Tech reviews | News | B
Which Pakistani city is Rajab Butt associated with? | Lahore | Karachi | Islamabad | Multan | A
Which family vlogger gained popularity through daily routine vlogs? | Rajab’s Family | P4 Pakao | Mooroo | Village Food Secrets | A
Rajab Butt became famous mainly on which platform? | TikTok | YouTube | Facebook | Instagram | A
Who is known as Ducky Bhai? | Saad ur Rehman | Rajab Butt | Nadir Ali | Mubashir Saddique | A
Ducky Bhai is most famous for which content type? | Cooking | Roasting videos | Travel vlogs | Family drama | B
Which city is Ducky Bhai from? | Karachi | Lahore | Islamabad | Faisalabad | A
Ducky Bhai’s wife is? | Aroob Jatoi | Iqra Kanwal | Kanwal Aftab | Sehar Hayat | A
Ducky Bhai started his YouTube career with? | Vlogs | Gaming | Roasting | Tech reviews | C
Which vlogger runs the P4 Pakao channel? | Nadir Ali | Rajab Butt | Mooroo | Ducky Bhai | A
P4 Pakao is famous for which content? | Family vlogs | Prank interviews | Gaming | Cooking | B
Nadir Ali often records videos in which places? | Studios only | Public places | Foreign countries | Homes only | B
Which Pakistani vlogger is known for social experiments? | Nadir Ali | Rajab Butt | Mubashir Saddique | Sistrology | A
P4 Pakao gained popularity mainly through? | Interviews | Public pranks | Family drama | Podcasts | B
Who is the creator of Sistrology channel? | Iqra Kanwal | Kanwal Aftab | Romaisa Khan | Jannat Mirza | A
Sistrology channel features content related to? | Sisters daily life | Tech reviews | Gaming | News | A
Which platform made Sistrology famous initially? | YouTube | TikTok | Facebook | Twitter | B
How many sisters are mainly featured in Sistrology? | Two | Three | Four | Five | C
Sistrology channel focuses mostly on? | Cooking only | Sister bonding & lifestyle | Interviews | Roasting | B
Who is Mooroo? | A chef | A vlogger & filmmaker | A gamer | A news reporter | B
Mooroo’s real name is? | Taimoor Salahuddin | Nadir Ali | Saad Rehman | Mubashir Saddique | A
Mooroo is known for which style of content? | Cinematic vlogs | Cooking | Family drama | Pranks | A
Which Pakistani city is Mooroo associated with? | Karachi | Lahore | Islamabad | Peshawar | B
Mooroo’s content often includes? | Storytelling | Roasting | Public pranks | Interviews | A
Who runs Village Food Secrets channel? | Mubashir Saddique | Nadir Ali | Rajab Butt | Ducky Bhai | A
Village Food Secrets is famous for? | Street food | Village cooking | Fast food | Baking | B
Mubashir Saddique belongs to which area? | Lahore | Rural Punjab | Karachi | Islamabad | B
Village Food Secrets videos are mostly shot in? | Restaurants | Villages | Hotels | Studios | B
Which channel shows traditional Pakistani recipes? | Village Food Secrets | P4 Pakao | Ducky Bhai | Mooroo | A
