Who played Geralt of Rivia in The Witcher? | Henry Cavill | Tom Ellis | Kit Harington | Pedro Pascal | A

Stranger Things is set in which town? | Hawkins | Springfield | Sunnydale | Twin Peaks | A

Who plays Eleven in Stranger Things? | Millie Bobby Brown | Natalia Dyer | Sadie Sink | Maya Hawke | A

Money Heist original language? | Spanish | English | French | Italian | A

Who plays Tokyo in Money Heist? | Úrsula Corberó | Alba Flores | Itziar Ituño | Najwa Nimri | A

Game of Thrones is based on books by? | George R.R. Martin | J.K. Rowling | Suzanne Collins | Tolkien | A

Who played Jon Snow? | Kit Harington | Sean Bean | Peter Dinklage | Nikolaj Coster-Waldau | A

Who played Daenerys Targaryen? | Emilia Clarke | Sophie Turner | Lena Headey | Maisie Williams | A

Breaking Bad main character Walter White is played by? | Bryan Cranston | Aaron Paul | Dean Norris | Bob Odenkirk | A

Who plays Jesse Pinkman in Breaking Bad? | Aaron Paul | Bryan Cranston | Bob Odenkirk | Dean Norris | A

The Mandalorian features which character as main? | Din Djarin | Luke Skywalker | Boba Fett | Grogu | A

Who plays Din Djarin in The Mandalorian? | Pedro Pascal | Diego Luna | Giancarlo Esposito | Carl Weathers | A

The Mandalorian sidekick Grogu is also called? | Baby Yoda | Yaddle | Yoda | Yoda Jr. | A

Who played Tyrion Lannister? | Peter Dinklage | Nikolaj Coster-Waldau | Liam Cunningham | Alfie Allen | A

Who played Arya Stark? | Maisie Williams | Sophie Turner | Emilia Clarke | Lena Headey | A

Who plays Sansa Stark? | Sophie Turner | Maisie Williams | Emilia Clarke | Lena Headey | A

Stranger Things features which supernatural dimension? | Upside Down | Shadow Realm | Mirror World | Nether Realm | A

Who plays Steve Harrington in Stranger Things? | Joe Keery | Finn Wolfhard | David Harbour | Charlie Heaton | A

Who plays Mike Wheeler in Stranger Things? | Finn Wolfhard | Noah Schnapp | Gaten Matarazzo | Caleb McLaughlin | A

Who plays Dustin Henderson in Stranger Things? | Gaten Matarazzo | Finn Wolfhard | Caleb McLaughlin | Noah Schnapp | A

Loki series is part of which universe? | MCU | DC | Star Wars | Harry Potter | A

Who plays Loki in the Disney+ series? | Tom Hiddleston | Chris Hemsworth | Benedict Cumberbatch | Paul Bettany | A

WandaVision main character Wanda Maximoff played by? | Elizabeth Olsen | Scarlett Johansson | Brie Larson | Gal Gadot | A

Who plays Vision in WandaVision? | Paul Bettany | Mark Ruffalo | Robert Downey Jr. | Tom Hiddleston | A

The Boys main character Billy Butcher is played by? | Karl Urban | Antony Starr | Jack Quaid | Laz Alonso | A

Who plays Homelander in The Boys? | Antony Starr | Karl Urban | Jack Quaid | Laz Alonso | A

Who plays Starlight in The Boys? | Erin Moriarty | Dominique McElligott | Jessie T. Usher | Chace Crawford | A

Umbrella Academy is based on comics by? | Gerard Way | Stan Lee | Frank Miller | Alan Moore | A

Who plays Number Five in Umbrella Academy? | Aidan Gallagher | Elliot Page | Tom Hopper | Robert Sheehan | A

Who plays Klaus Hargreeves in Umbrella Academy? | Robert Sheehan | Aidan Gallagher | Tom Hopper | David Castañeda | A

Who plays Vanya Hargreeves? | Elliot Page | Emmy Raver-Lampman | Justin H. Min | Robert Sheehan | A

Loki Disney+ series released in which year? | 2021 | 2020 | 2022 | 2019 | A

Who plays Mobius M. Mobius in Loki? | Owen Wilson | Tom Hiddleston | Jonathan Majors | Gugu Mbatha-Raw | A

Stranger Things season 4 villain? | Vecna | Demogorgon | Mind Flayer | Kali | A

Peaky Blinders main character Tommy Shelby played by? | Cillian Murphy | Tom Hardy | Paul Anderson | Finn Cole | A

Who plays Arthur Shelby in Peaky Blinders? | Paul Anderson | Cillian Murphy | Tom Hardy | Finn Cole | A

Peaky Blinders is set in which city? | Birmingham | London | Manchester | Liverpool | A

Who plays Polly Gray in Peaky Blinders? | Helen McCrory | Sophie Turner | Maisie Williams | Emilia Clarke | A

Who plays Alfie Solomons in Peaky Blinders? | Tom Hardy | Cillian Murphy | Paul Anderson | Sam Neill | A

