Who played Iron Man in the Marvel Cinematic Universe? | Chris Evans | Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo | B
Which actor starred in Titanic (1997)? | Brad Pitt | Johnny Depp | Leonardo DiCaprio | Tom Cruise | C
Who is famous for the Mission: Impossible film series? | Tom Cruise | Matt Damon | Keanu Reeves | Ben Affleck | A
Which actor played Captain Jack Sparrow? | Orlando Bloom | Johnny Depp | Leonardo DiCaprio | Brad Pitt | B
Who portrayed Batman in The Dark Knight trilogy? | Ben Affleck | Robert Pattinson | Christian Bale | Val Kilmer | C
Which actor played Thor in the MCU? | Chris Evans | Chris Pratt | Chris Hemsworth | Liam Hemsworth | C
Who starred as Wolverine in X-Men movies? | Hugh Jackman | Ryan Reynolds | Henry Cavill | Chris Evans | A
Which actor played Deadpool? | Ryan Reynolds | Hugh Jackman | Chris Pratt | Paul Rudd | A
Who is known as “The Rock”? | Jason Statham | Dwayne Johnson | Vin Diesel | John Cena | B
Which actor starred in John Wick? | Tom Hardy | Keanu Reeves | Matt Damon | Brad Pitt | B
Who played Spider-Man in the MCU? | Tobey Maguire | Andrew Garfield | Tom Holland | Jake Gyllenhaal | C
Which actor starred in Gladiator? | Russell Crowe | Gerard Butler | Brad Pitt | Joaquin Phoenix | A
Who played Joker in The Dark Knight (2008)? | Joaquin Phoenix | Heath Ledger | Jared Leto | Jack Nicholson | B
Which actor starred in Inception? | Matt Damon | Leonardo DiCaprio | Christian Bale | Tom Hardy | B
Who played Superman in Man of Steel? | Brandon Routh | Henry Cavill | Ben Affleck | Christopher Reeve | B
Which actor starred in Top Gun: Maverick (2022)? | Brad Pitt | Tom Cruise | Will Smith | George Clooney | B
Who portrayed Black Panther? | Chadwick Boseman | Michael B. Jordan | Anthony Mackie | Idris Elba | A
Which actor starred in The Wolf of Wall Street? | Brad Pitt | Leonardo DiCaprio | Jonah Hill | Christian Bale | B
Who played Doctor Strange? | Benedict Cumberbatch | Tom Hiddleston | Paul Bettany | Eddie Redmayne | A
Which actor is famous for Pirates of the Caribbean? | Johnny Depp | Orlando Bloom | Javier Bardem | Geoffrey Rush | A
Who starred in The Matrix series? | Keanu Reeves | Hugo Weaving | Laurence Fishburne | All | D
Which actor played Captain America? | Chris Evans | Chris Pratt | Chris Hemsworth | Sebastian Stan | A
Who starred in Interstellar? | Matthew McConaughey | Leonardo DiCaprio | Matt Damon | Christian Bale | A
Which actor played Venom? | Tom Hardy | Tom Holland | Andrew Garfield | Eddie Redmayne | A
Who starred in Avengers: Endgame as Hulk? | Mark Ruffalo | Edward Norton | Chris Evans | Jeremy Renner | A
Which actor played Ant-Man? | Paul Rudd | Chris Pratt | Seth Rogen | Ryan Reynolds | A
Who portrayed Loki in the MCU? | Tom Hiddleston | Benedict Cumberbatch | Chris Evans | Paul Bettany | A
Which actor starred in Oppenheimer (2023)? | Cillian Murphy | Matt Damon | Robert Downey Jr. | All | D
Who is known for the Fast & Furious franchise? | Vin Diesel | Jason Statham | Paul Walker | All | D
Which actor starred in Dune (2021, 2024)? | Timothée Chalamet | Tom Holland | Ezra Miller | Austin Butler | A
Who played Aquaman? | Jason Momoa | Chris Hemsworth | Henry Cavill | Dwayne Johnson | A
Which actor starred in The Revenant? | Leonardo DiCaprio | Tom Hardy | Domhnall Gleeson | All | D
Who played Black Adam? | Dwayne Johnson | Henry Cavill | Jason Momoa | Zachary Levi | A
Which actor starred in The Dark Knight Rises as Bane? | Tom Hardy | Cillian Murphy | Joseph Gordon-Levitt | Liam Neeson | A
Who played James Bond in Skyfall? | Daniel Craig | Pierce Brosnan | Sean Connery | Roger Moore | A
Which actor starred in Joker (2019)? | Joaquin Phoenix | Heath Ledger | Jared Leto | Willem Dafoe | A
Who is famous for Sherlock Holmes (BBC)? | Benedict Cumberbatch | Robert Downey Jr. | Johnny Depp | Tom Hardy | A
Which actor starred in Mad Max: Fury Road? | Tom Hardy | Mel Gibson | Chris Hemsworth | Hugh Jackman | A
Who played Professor X in X-Men (newer films)? | James McAvoy | Patrick Stewart | Hugh Jackman | Michael Fassbender | A
Which actor starred in Ford v Ferrari? | Matt Damon | Christian Bale | Both | None | C
Who played Green Goblin in Spider-Man? | Willem Dafoe | Jake Gyllenhaal | Jamie Foxx | Alfred Molina | A
Which actor starred in No Country for Old Men? | Javier Bardem | Josh Brolin | Tommy Lee Jones | All | D
Who starred in The Prestige? | Christian Bale | Hugh Jackman | Both | None | C
Which actor played Flash in Justice League? | Ezra Miller | Grant Gustin | Tom Holland | Dylan O’Brien | A
Who starred in The Godfather trilogy? | Al Pacino | Robert De Niro | Marlon Brando | All | D
Which actor starred in Once Upon a Time in Hollywood? | Leonardo DiCaprio | Brad Pitt | Both | None | C
Who won an Oscar for Oppenheimer (supporting actor)? | Robert Downey Jr. | Matt Damon | Cillian Murphy | None | A
Which actor starred in The Irishman? | Robert De Niro | Al Pacino | Joe Pesci | All | D
Which actor starred in The Batman (2022)? | Robert Pattinson | Ben Affleck | Christian Bale | Val Kilmer | A
Which actor starred in Blade Runner 2049? | Ryan Gosling | Harrison Ford | Both | None | C
Which actor is known for romantic comedy roles and Deadpool? | Ryan Reynolds | Hugh Jackman | Chris Pratt | Paul Rudd | A
Which actor starred in Transformers (first trilogy)? | Shia LaBeouf | Mark Wahlberg | Tom Hardy | Chris Pine | A
Which actor starred in The Equalizer series? | Denzel Washington | Will Smith | Idris Elba | Jamie Foxx | A
Which actor starred in I Am Legend? | Will Smith | Denzel Washington | Jamie Foxx | Idris Elba | A
Which actor played Doctor Doom (upcoming MCU reports)? | Robert Downey Jr. | Cillian Murphy | Tom Hardy | None | A
Which actor starred in Kingsman? | Taron Egerton | Colin Firth | Both | None | C
Which actor starred in The Hunger Games prequel? | Tom Blyth | Timothée Chalamet | Austin Butler | None | A
Which actor starred in The Whale? | Brendan Fraser | Hugh Jackman | Colin Farrell | Matt Damon | A
Which actor starred in The Gentlemen? | Matthew McConaughey | Charlie Hunnam | Both | None | C
Which actor starred in Peaky Blinders? | Cillian Murphy | Tom Hardy | Paul Anderson | All | D
Which actor starred in Avatar? | Sam Worthington | Chris Pratt | Tom Holland | Jake Sully | A
Which actor starred in The Social Network? | Jesse Eisenberg | Andrew Garfield | Justin Timberlake | All | D
Which actor starred in The Menu? | Ralph Fiennes | Nicholas Hoult | Anya Taylor-Joy | All | D
