Who played Iron Man in MCU? | Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | A

Who directed Avatar? | James Cameron | Steven Spielberg | Christopher Nolan | Peter Jackson | A

Forrest Gump was released in which year? | 1994 | 1990 | 2000 | 1992 | A

Who played Jack in Titanic? | Leonardo DiCaprio | Brad Pitt | Tom Cruise | Johnny Depp | A

Which movie features the quote I am your father? | Star Wars | Avengers | Harry Potter | Lord of the Rings | A

Who played Joker in The Dark Knight? | Heath Ledger | Jared Leto | Joaquin Phoenix | Jack Nicholson | A

Who directed Inception? | Christopher Nolan | James Cameron | Steven Spielberg | Martin Scorsese | A

Who plays Captain America in MCU? | Chris Evans | Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo | A

The Godfather was released in which year? | 1972 | 1970 | 1974 | 1980 | A

Who starred as Black Widow in MCU? | Scarlett Johansson | Brie Larson | Gal Gadot | Elizabeth Olsen | A

Avengers: Endgame released in? | 2019 | 2018 | 2020 | 2017 | A

Who played Spider-Man in MCU (2017 onwards)? | Tom Holland | Tobey Maguire | Andrew Garfield | Jake Gyllenhaal | A

Jurassic Park was directed by? | Steven Spielberg | James Cameron | Ridley Scott | Peter Jackson | A

Which actor plays Thor? | Chris Hemsworth | Chris Evans | Robert Downey Jr. | Mark Ruffalo | A

Who directed Titanic? | James Cameron | Christopher Nolan | Steven Spielberg | Peter Jackson | A

Harry Potter movies are based on books by? | J.K. Rowling | Suzanne Collins | Rick Riordan | George R.R. Martin | A

Who played Deadpool? | Ryan Reynolds | Hugh Jackman | Chris Hemsworth | Chris Pratt | A

The Lion King (1994) was directed by? | Roger Allers | Jon Favreau | Steven Spielberg | Tim Burton | A

Who played Batman in The Dark Knight? | Christian Bale | Ben Affleck | Michael Keaton | Robert Pattinson | A

Which movie features the quote Say hello to my little friend? | Scarface | Goodfellas | The Godfather | Pulp Fiction | A

Avengers: Infinity War released in? | 2018 | 2017 | 2019 | 2020 | A

Who directed Interstellar? | Christopher Nolan | James Cameron | Steven Spielberg | Ridley Scott | A

Who plays Hulk in MCU? | Mark Ruffalo | Robert Downey Jr. | Chris Evans | Chris Hemsworth | A

The Matrix was released in which year? | 1999 | 1998 | 2000 | 2001 | A

Who played Wonder Woman? | Gal Gadot | Scarlett Johansson | Brie Larson | Margot Robbie | A

Who directed The Avengers (2012)? | Joss Whedon | James Cameron | Christopher Nolan | Steven Spielberg | A

Who played Captain Jack Sparrow? | Johnny Depp | Orlando Bloom | Brad Pitt | Tom Hanks | A

Guardians of the Galaxy director? | James Gunn | Jon Favreau | Christopher Nolan | Joss Whedon | A

Who played Iron Mans assistant/AI JARVIS? | Paul Bettany | Mark Ruffalo | Robert Downey Jr. | Chris Evans | A

The Dark Knight Rises released in? | 2012 | 2010 | 2008 | 2014 | A

Who played Ant-Man? | Paul Rudd | Chris Pratt | Chris Hemsworth | Robert Downey Jr. | A

Frozen (2013) features which princess? | Elsa | Anna | Rapunzel | Belle | A

Who directed Avatar: The Way of Water”? | James Cameron | Christopher Nolan | Steven Spielberg | Peter Jackson | A

Who played Black Panther? | Chadwick Boseman | Michael B. Jordan | Anthony Mackie | Idris Elba | A

Toy Story was released in? | 1995 | 1996 | 1994 | 1997 | A

Who played Captain Marvel? | Brie Larson | Scarlett Johansson | Gal Gadot | Elizabeth Olsen | A

Who directed Dunkirk? | Christopher Nolan | James Cameron | Steven Spielberg | Ridley Scott | A

Spider-Man: Homecoming released in? | 2017 | 2016 | 2018 | 2015 | A

Who played Doctor Strange? | Benedict Cumberbatch | Robert Downey Jr. | Chris Hemsworth | Tom Holland | A

The Godfather Part II released in? | 1974 | 1972 | 1976 | 1970 | A

Who played Thor: Ragnaroks villain Hela? | Cate Blanchett | Tessa Thompson | Scarlett Johansson | Brie Larson | A

Avengers: Age of Ultron director? | Joss Whedon | James Gunn | Christopher Nolan | Jon Favreau | A

Who played Thanos? | Josh Brolin | Tom Hiddleston | Chris Hemsworth | Dave Bautista | A

Frozen II released in? | 2019 | 2018 | 2020 | 2017 | A

Who played Loki? | Tom Hiddleston | Chris Hemsworth | Robert Downey Jr. | Chris Evans | A

Inception features which concept? | Dream within a dream | Time travel | Space travel | Parallel universe | A

Who played Hawkeye? | Jeremy Renner | Chris Evans | Robert Downey Jr. | Mark Ruffalo | A

Black Panther released in? | 2018 | 2017 | 2019 | 2020 | A

Who played Iron Man in Avengers: Endgame? | Robert Downey Jr. | Chris Evans | Chris Hemsworth | Mark Ruffalo | A

Who directed Guardians of the Galaxy Vol. 2? | James Gunn | Joss Whedon | Christopher Nolan | Jon Favreau | A

Who played Shuri in Black Panther? | Letitia Wright | Lupita Nyong’o | Danai Gurira | Angela Bassett | A

The Incredibles is directed by? | Brad Bird | Pete Docter | John Lasseter | Andrew Stanton | A

Who played Star Lord? | Chris Pratt | Chris Hemsworth | Chris Evans | Robert Downey Jr. | A

Frozen sisters name? | Anna | Elsa | Rapunzel | Belle | A

Who played Vision in MCU? | Paul Bettany | Mark Ruffalo | Robert Downey Jr. | Chris Evans | A

Who directed The Social Network? | David Fincher | Christopher Nolan | Steven Spielberg | James Cameron | A

Shang-Chi actor? | Simu Liu | Tony Leung | Benedict Wong | Donnie Yen | A

Who played Gamora? | Zoe Saldana | Brie Larson | Scarlett Johansson | Elizabeth Olsen | A

Who played Mysterio in Spider-Man: Far From Home? | Jake Gyllenhaal | Tom Holland | Zendaya | Jacob Batalon | A

Guardians of the Galaxy soundtrack features? | Awesome Mix | Top Gun | Inception | Frozen | A

Who played Nick Fury? | Samuel L. Jackson | Morgan Freeman | Don Cheadle | Anthony Mackie | A

Who directed The Revenant? | Alejandro González Iñárritu | Christopher Nolan | James Cameron | Steven Spielberg | A

Black Panther: Wakanda Forever released in? | 2022 | 2021 | 2020 | 2019 | A

Who played Rocket Raccoon? | Bradley Cooper | Vin Diesel | Chris Pratt | Tom Holland | A

Who played Groot? | Vin Diesel | Bradley Cooper | Chris Pratt | Tom Holland | A

Captain America: Civil War released in? | 2016 | 2015 | 2017 | 2018 | A

Who played Falcon? | Anthony Mackie | Sebastian Stan | Chris Evans | Robert Downey Jr. | A

Who directed Tenet? | Christopher Nolan | James Cameron | Steven Spielberg | Ridley Scott | A

Eternals features which director? | Chloé Zhao | Taika Waititi | James Gunn | Jon Favreau | A

Who played Sersi in Eternals? | Gemma Chan | Angelina Jolie | Salma Hayek | Lauren Ridloff | A

Who played Ikaris in Eternals? | Richard Madden | Kit Harington | Chris Hemsworth | Chris Evans | A

Who played Peter Parker in MCU? | Tom Holland | Tobey Maguire | Andrew Garfield | Jake Gyllenhaal | A

Doctor Strange in Multiverse of Madness director? | Sam Raimi | Scott Derrickson | Jon Watts | Taika Waititi | A

Who played Wanda Maximoff? | Elizabeth Olsen | Scarlett Johansson | Brie Larson | Gal Gadot | A

Avengers: Endgame was directed by? | Anthony & Joe Russo | Christopher Nolan | James Gunn | Joss Whedon | A

Who played Wong in MCU? | Benedict Wong | Benedict Cumberbatch | Mark Ruffalo | Tom Holland | A

Who played MBaku? | Winston Duke | Chadwick Boseman | Danai Gurira | Michael B. Jordan | A

Ant-Man and The Wasp director? | Peyton Reed | James Gunn | Taika Waititi | Jon Favreau | A

Who played Hope van Dyne? | Evangeline Lilly | Scarlett Johansson | Brie Larson | Gal Gadot | A

Doctor Strange features which artifact? | Eye of Agamotto | Tesseract | Infinity Gauntlet | Mjolnir | A

Who played Yon-Rogg in Captain Marvel? | Jude Law | Samuel L. Jackson | Ben Mendelsohn | Clark Gregg | A

Who played Maria Rambeau in Captain Marvel? | Lashana Lynch | Brie Larson | Gemma Chan | Tilda Swinton | A

Spider-Man: No Way Home released in? | 2021 | 2020 | 2022 | 2019 | A

Who played Electro in The Amazing Spider-Man 2? | Jamie Foxx | Willem Dafoe | Alfred Molina | Thomas Haden Church | A

Who played Doctor Octopus in Spider-Man 2? | Alfred Molina | Jamie Foxx | Willem Dafoe | Thomas Haden Church | A

Iron Man released in? | 2008 | 2007 | 2009 | 2010 | A

Who played Pepper Potts? | Gwyneth Paltrow | Scarlett Johansson | Brie Larson | Elizabeth Olsen | A

The Dark Knight director? | Christopher Nolan | James Cameron | Steven Spielberg | Ridley Scott | A

Who played Harvey Dent/Two-Face? | Aaron Eckhart | Tommy Lee Jones | Gary Oldman | Heath Ledger | A

Dunkirk setting is? | WWII | WWI | Vietnam | Korean War | A

Who played Tommy Shelby in Peaky Blinders movie? | Cillian Murphy | Tom Hardy | Paul Anderson | Finn Cole | A

Who directed The Wolf of Wall Street? | Martin Scorsese | Christopher Nolan | Steven Spielberg | James Cameron | A

Joker 2019 starred? | Joaquin Phoenix | Heath Ledger | Jared Leto | Jack Nicholson | A

Who played Harley Quinn in Suicide Squad? | Margot Robbie | Gal Gadot | Brie Larson | Scarlett Johansson | A

Who directed Shutter Island? | Martin Scorsese | Christopher Nolan | Steven Spielberg | Ridley Scott | A

Inception main character played by? | Leonardo DiCaprio | Tom Hardy | Joseph Gordon-Levitt | Cillian Murphy | A

Logan starred? | Hugh Jackman | Chris Hemsworth | Robert Downey Jr. | Chris Evans | A

Who played Deadpool 2 villain Cable? | Josh Brolin | Ryan Reynolds | Tim Miller | Ed Skrein | A

Thor: Love and Thunder director? | Taika Waititi | James Gunn | Christopher Nolan | Jon Watts | A

Who played Jane Foster in Thor? | Natalie Portman | Jaimie Alexander | Tessa Thompson | Kat Dennings | As
